0,0,19,0,0,0,0,20,0,0,0,0
0,0,13,0,0,0,0,5,0,0,0,0
0,0,49,0,0,0,0,37,0,0,0,0
0,0,24,0,0,0,0,54,0,0,0,0
0,0,56,0,0,0,0,0,0,0,0,0
0,0,16,0,0,0,0,10,0,0,0,0
0,0,12,0,0,0,0,13,0,0,0,0
0,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,0,0,30,0,0,0,0
0,0,41,0,0,0,0,14,0,0,0,0
0,0,15,0,0,0,0,36,0,0,0,0
0,0,75,0,0,0,0,7,0,0,0,0
0,0,72,0,0,0,0,25,0,0,0,0
0,0,16,0,0,0,0,49,0,0,0,0
0,0,42,0,0,0,0,45,0,0,0,0
0,0,26,0,0,0,0,2,0,0,0,0
0,0,68,0,0,0,0,49,0,0,0,0
0,1,27,-1,1,100,0,34,0,0,0,0
0,0,36,0,0,0,0,13,0,0,0,0
0,0,1,0,0,0,0,3,0,0,0,0
0,0,22,0,0,0,0,45,0,0,0,0
0,0,11,0,0,0,0,9,0,0,0,0
0,0,12,0,0,0,0,24,0,0,0,0
0,0,18,0,0,0,0,1,0,0,0,0
0,0,38,0,0,0,0,30,0,0,0,0
0,0,55,0,0,0,0,20,0,0,0,0
0,0,1,0,0,0,0,15,0,0,0,0
0,0,37,0,0,0,0,20,0,0,0,0
0,0,0,0,0,0,0,29,0,0,0,0
0,0,28,0,0,0,0,30,0,0,0,0
0,0,20,0,0,0,0,110,0,0,0,0
0,0,8,0,0,0,0,80,0,0,0,0
0,0,21,0,0,0,0,0,0,0,0,0
0,0,18,0,0,0,0,56,0,0,0,0
0,0,32,0,0,0,0,16,0,0,0,0
0,0,45,0,0,0,0,1,0,0,0,0
0,0,58,0,0,0,0,30,0,0,0,0
0,0,114,0,0,0,0,35,0,0,0,0
0,0,66,0,0,0,0,30,0,0,0,0
0,0,43,0,0,0,0,12,0,0,0,0
0,0,13,0,0,0,0,22,0,0,0,0
0,0,55,0,0,0,0,22,0,0,0,0
0,1,9,1,-2,100,0,22,0,0,0,0
0,0,55,0,0,0,0,9,0,0,0,0
0,0,90,0,0,0,0,51,0,0,0,0
0,1,48,-1,2,100,0,2,0,0,0,0
0,0,51,0,0,0,0,37,0,0,0,0
0,1,74,-4,-2,100,0,39,0,0,0,0
0,0,42,0,0,0,0,1,0,0,0,0
0,0,42,0,0,0,0,5,0,0,0,0
0,0,32,0,0,0,0,4,0,0,0,0
0,0,9,0,0,0,0,2,0,0,0,0
0,0,39,0,0,0,0,15,0,0,0,0
0,0,63,0,0,0,0,32,0,0,0,0
0,1,16,2,0,100,0,84,0,0,0,0
0,1,5,1,-1,100,0,31,0,0,0,0
0,0,4,0,0,0,0,49,0,0,0,0
0,0,39,0,0,0,0,34,0,0,0,0
0,0,10,0,0,0,0,52,0,0,0,0
0,0,28,0,0,0,0,62,0,0,0,0
0,0,4,0,0,0,0,13,0,0,0,0
0,0,43,0,0,0,0,16,0,0,0,0
0,0,2,0,0,0,0,1,0,0,0,0
0,0,33,0,0,0,0,54,0,0,0,0
0,1,54,-1,-4,100,0,68,0,0,0,0
0,1,1,0,6,100,0,40,0,0,0,0
0,0,25,0,0,0,0,144,0,0,0,0
0,1,13,2,0,100,0,142,0,0,0,0
0,0,24,0,0,0,0,49,0,0,0,0
0,0,35,0,0,0,0,52,0,0,0,0
0,0,36,0,0,0,0,15,0,0,0,0
0,0,18,0,0,0,0,56,0,0,0,0
0,0,50,0,0,0,0,0,0,0,0,0
0,0,86,0,0,0,0,33,0,0,0,0
0,0,6,0,0,0,0,19,0,0,0,0
0,0,21,0,0,0,0,31,0,0,0,0
0,0,84,0,0,0,0,58,0,0,0,0
0,0,23,0,0,0,0,26,0,0,0,0
0,0,30,0,0,0,0,105,0,0,0,0
0,0,38,0,0,0,0,47,0,0,0,0
0,1,39,-2,0,100,0,22,0,0,0,0
0,0,3,0,0,0,0,19,0,0,0,0
0,1,14,-2,-2,100,0,2,0,0,0,0
0,0,16,0,0,0,0,20,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0
0,1,16,1,1,100,0,19,0,0,0,0
0,0,51,0,0,0,0,5,0,0,0,0
0,0,25,0,0,0,0,2,0,0,0,0
0,0,14,0,0,0,0,31,0,0,0,0
0,1,0,3,2,100,0,22,0,0,0,0
0,0,24,0,0,0,0,36,0,0,0,0
0,0,18,0,0,0,0,32,0,0,0,0
0,0,58,0,0,0,0,0,0,0,0,0
0,0,94,0,0,0,0,33,0,0,0,0
0,0,20,0,0,0,0,54,0,0,0,0
0,0,10,0,0,0,0,34,0,0,0,0
0,0,12,0,0,0,0,40,0,0,0,0
0,0,2,0,0,0,0,38,0,0,0,0
0,0,22,0,0,0,0,0,0,0,0,0
0,0,33,0,0,0,0,1,0,0,0,0
0,0,55,0,0,0,0,8,0,0,0,0
0,0,18,0,0,0,0,5,0,0,0,0
0,0,2,0,0,0,0,49,0,0,0,0
0,0,17,0,0,0,0,42,0,0,0,0
0,0,1,0,0,0,0,84,0,0,0,0
0,0,123,0,0,0,0,66,0,0,0,0
0,0,56,0,0,0,0,21,0,0,0,0
0,0,21,0,0,0,0,15,0,0,0,0
0,0,2,0,0,0,0,2,0,0,0,0
0,0,50,0,0,0,0,56,0,0,0,0
0,0,1,0,0,0,0,13,0,0,0,0
0,0,10,0,0,0,0,0,0,0,0,0
0,0,28,0,0,0,0,79,0,0,0,0
0,1,37,-2,1,100,0,39,0,0,0,0
0,0,96,0,0,0,0,0,0,0,0,0
0,0,58,0,0,0,0,49,0,0,0,0
0,0,10,0,0,0,0,19,0,0,0,0
0,0,48,0,0,0,0,41,0,0,0,0
0,0,7,0,0,0,0,27,0,0,0,0
0,0,33,0,0,0,0,27,0,0,0,0
0,0,49,0,0,0,0,39,0,0,0,0
0,1,13,-1,-3,100,0,35,0,0,0,0
0,0,18,0,0,0,0,17,0,0,0,0
0,0,6,0,0,0,0,69,0,0,0,0
0,0,22,0,0,0,0,54,0,0,0,0
0,0,53,0,0,0,0,25,0,0,0,0
0,0,16,0,0,0,0,34,0,0,0,0
0,0,32,0,0,0,0,52,0,0,0,0
0,0,17,0,0,0,0,64,0,0,0,0
0,1,21,-3,-3,100,0,19,0,0,0,0
0,0,60,0,0,0,0,72,0,0,0,0
0,1,71,7,-1,100,0,31,0,0,0,0
0,0,3,0,0,0,0,28,0,0,0,0
0,0,13,0,0,0,0,15,0,0,0,0
0,0,61,0,0,0,0,0,0,0,0,0
0,0,9,0,0,0,0,19,0,0,0,0
0,0,65,0,0,0,0,4,0,0,0,0
0,0,5,0,0,0,0,13,0,0,0,0
0,1,9,-3,6,100,0,14,0,0,0,0
0,0,51,0,0,0,0,10,0,0,0,0
0,0,68,0,0,0,0,17,0,0,0,0
0,0,36,0,0,0,0,11,0,0,0,0
0,0,39,0,0,0,0,88,0,0,0,0
0,0,48,0,0,0,0,61,0,0,0,0
0,0,25,0,0,0,0,69,0,0,0,0
0,0,80,0,0,0,0,51,0,0,0,0
0,0,81,0,0,0,0,3,0,0,0,0
0,0,2,0,0,0,0,21,0,0,0,0
0,0,18,0,0,0,0,66,0,0,0,0
0,0,3,0,0,0,0,33,0,0,0,0
0,0,3,0,0,0,0,41,0,0,0,0
0,1,0,-4,-3,100,0,37,0,0,0,0
0,1,1,11,3,100,0,19,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0
0,0,16,0,0,0,0,3,0,0,0,0
0,1,5,-7,0,100,0,15,0,0,0,0
0,0,22,0,0,0,0,0,0,0,0,0
0,0,77,0,0,0,0,37,0,0,0,0
0,0,57,0,0,0,0,106,0,0,0,0
0,0,3,0,0,0,0,89,0,0,0,0
0,1,33,2,-3,100,0,31,0,0,0,0
0,1,16,-2,1,100,0,4,0,0,0,0
0,0,71,0,0,0,0,4,0,0,0,0
0,0,118,0,0,0,0,17,0,0,0,0
0,0,32,0,0,0,0,61,0,0,0,0
0,0,34,0,0,0,0,22,0,0,0,0
0,0,48,0,0,0,0,31,0,0,0,0
0,0,8,0,0,0,0,69,0,0,0,0
0,0,4,0,0,0,0,15,0,0,0,0
0,0,18,0,0,0,0,36,0,0,0,0
0,0,11,0,0,0,0,19,0,0,0,0
0,0,3,0,0,0,0,1,0,0,0,0
0,0,21,0,0,0,0,1,0,0,0,0
0,0,70,0,0,0,0,4,0,0,0,0
0,0,26,0,0,0,0,26,0,0,0,0
0,0,40,0,0,0,0,42,0,0,0,0
0,0,58,0,0,0,0,19,0,0,0,0
0,0,34,0,0,0,0,19,0,0,0,0
0,0,29,0,0,0,0,26,0,0,0,0
0,0,71,0,0,0,0,9,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0
0,0,59,0,0,0,0,32,0,0,0,0
0,0,0,0,0,0,0,36,0,0,0,0
0,0,108,0,0,0,0,6,0,0,0,0
0,0,38,0,0,0,0,23,0,0,0,0
0,0,3,0,0,0,0,26,0,0,0,0
0,0,18,0,0,0,0,81,0,0,0,0
0,0,55,0,0,0,0,78,0,0,0,0
0,0,17,0,0,0,0,21,0,0,0,0
0,0,20,0,0,0,0,17,0,0,0,0
0,0,46,0,0,0,0,53,0,0,0,0
0,0,22,0,0,0,0,34,0,0,0,0
0,0,8,0,0,0,0,39,0,0,0,0
0,0,20,0,0,0,0,38,0,0,0,0
0,0,0,0,0,0,0,7,0,0,0,0
0,0,35,0,0,0,0,12,0,0,0,0
0,0,21,0,0,0,0,3,0,0,0,0
0,0,94,0,0,0,0,7,0,0,0,0
0,0,71,0,0,0,0,40,0,0,0,0
0,0,34,0,0,0,0,42,0,0,0,0
0,0,23,0,0,0,0,1,0,0,0,0
0,0,46,0,0,0,0,39,0,0,0,0
0,0,60,0,0,0,0,29,0,0,0,0
0,0,25,0,0,0,0,0,0,0,0,0
0,0,25,0,0,0,0,14,0,0,0,0
0,0,2,0,0,0,0,21,0,0,0,0
0,0,21,0,0,0,0,18,0,0,0,0
0,0,38,0,0,0,0,18,0,0,0,0
0,0,58,0,0,0,0,9,0,0,0,0
0,1,97,2,1,100,0,7,0,0,0,0
0,1,13,4,-5,100,0,7,0,0,0,0
0,0,25,0,0,0,0,15,0,0,0,0
0,0,41,0,0,0,0,11,0,0,0,0
0,0,13,0,0,0,0,15,0,0,0,0
0,0,1,0,0,0,0,18,0,0,0,0
0,0,1,0,0,0,0,49,0,0,0,0
0,0,1,0,0,0,0,56,0,0,0,0
0,0,5,0,0,0,0,21,0,0,0,0
0,0,16,0,0,0,0,41,0,0,0,0
0,0,20,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,37,0,0,0,0
0,1,49,-2,6,100,0,16,0,0,0,0
0,0,40,0,0,0,0,78,0,0,0,0
0,0,74,0,0,0,0,21,0,0,0,0
0,0,48,0,0,0,0,21,0,0,0,0
0,0,36,0,0,0,0,47,0,0,0,0
0,0,17,0,0,0,0,52,0,0,0,0
0,0,2,0,0,0,0,56,0,0,0,0
0,1,72,-4,0,100,0,13,0,0,0,0
0,1,53,0,1,100,0,3,0,0,0,0
0,1,25,-1,-6,100,0,7,0,0,0,0
0,0,49,0,0,0,0,4,0,0,0,0
0,0,15,0,0,0,0,9,0,0,0,0
0,1,7,6,4,100,0,20,0,0,0,0
0,0,90,0,0,0,0,19,0,0,0,0
0,0,59,0,0,0,0,42,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0
0,0,59,0,0,0,0,1,0,0,0,0
0,0,85,0,0,0,0,48,0,0,0,0
0,0,51,0,0,0,0,17,0,0,0,0
0,0,51,0,0,0,0,22,0,0,0,0
0,0,1,0,0,0,0,29,0,0,0,0
0,0,40,0,0,0,0,57,0,0,0,0
0,0,36,0,0,0,0,13,0,0,0,0
0,0,1,0,0,0,0,4,0,0,0,0
0,1,21,-1,1,100,0,16,0,0,0,0
0,0,20,0,0,0,0,58,0,0,0,0
0,0,1,0,0,0,0,34,0,0,0,0
0,0,50,0,0,0,0,48,0,0,0,0
0,0,105,0,0,0,0,82,0,0,0,0
0,0,32,0,0,0,0,58,0,0,0,0
0,0,55,0,0,0,0,23,0,0,0,0
0,0,23,0,0,0,0,26,0,0,0,0
0,0,48,0,0,0,0,32,0,0,0,0
0,0,39,0,0,0,0,52,0,0,0,0
0,1,22,-4,-3,100,0,51,0,0,0,0
0,0,2,0,0,0,0,12,0,0,0,0
0,0,69,0,0,0,0,1,0,0,0,0
0,0,62,0,0,0,0,45,0,0,0,0
0,0,2,0,0,0,0,22,0,0,0,0
0,0,56,0,0,0,0,34,0,0,0,0
0,0,54,0,0,0,0,6,0,0,0,0
0,0,2,0,0,0,0,21,0,0,0,0
0,0,53,0,0,0,0,34,0,0,0,0
0,0,114,0,0,0,0,40,0,0,0,0
0,0,38,0,0,0,0,35,0,0,0,0
0,0,13,0,0,0,0,25,0,0,0,0
0,0,37,0,0,0,0,3,0,0,0,0
0,0,34,0,0,0,0,17,0,0,0,0
0,0,4,0,0,0,0,35,0,0,0,0
0,0,20,0,0,0,0,14,0,0,0,0
0,1,74,5,2,100,0,49,0,0,0,0
0,0,30,0,0,0,0,32,0,0,0,0
0,0,2,0,0,0,0,16,0,0,0,0
0,0,4,0,0,0,0,10,0,0,0,0
0,0,4,0,0,0,0,40,0,0,0,0
0,0,0,0,0,0,0,22,0,0,0,0
0,0,6,0,0,0,0,54,0,0,0,0
0,0,6,0,0,0,0,0,0,0,0,0
0,0,28,0,0,0,0,37,0,0,0,0
0,0,39,0,0,0,0,32,0,0,0,0
0,0,50,0,0,0,0,52,0,0,0,0
0,0,11,0,0,0,0,69,0,0,0,0
0,0,8,0,0,0,0,1,0,0,0,0
0,0,24,0,0,0,0,65,0,0,0,0
0,0,13,0,0,0,0,33,0,0,0,0
0,0,14,0,0,0,0,5,0,0,0,0
0,0,29,0,0,0,0,4,0,0,0,0
0,1,8,-1,3,100,0,20,0,0,0,0
0,1,2,0,0,100,0,38,0,0,0,0
0,0,21,0,0,0,0,35,0,0,0,0
0,0,31,0,0,0,0,19,0,0,0,0
0,0,5,0,0,0,0,22,0,0,0,0
0,0,97,0,0,0,0,70,0,0,0,0
0,0,124,0,0,0,0,43,0,0,0,0
0,0,33,0,0,0,0,49,0,0,0,0
0,0,40,0,0,0,0,49,0,0,0,0
0,0,48,0,0,0,0,44,0,0,0,0
0,0,50,0,0,0,0,15,0,0,0,0
0,0,0,0,0,0,0,40,0,0,0,0
0,0,7,0,0,0,0,19,0,0,0,0
0,0,33,0,0,0,0,13,0,0,0,0
0,0,35,0,0,0,0,21,0,0,0,0
0,0,62,0,0,0,0,16,0,0,0,0
0,0,28,0,0,0,0,29,0,0,0,0
0,1,10,-2,-2,100,0,9,0,0,0,0
0,1,12,-2,0,100,0,64,0,0,0,0
0,0,15,0,0,0,0,4,0,0,0,0
0,0,4,0,0,0,0,18,0,0,0,0
0,0,25,0,0,0,0,35,0,0,0,0
0,0,6,0,0,0,0,45,0,0,0,0
0,0,13,0,0,0,0,16,0,0,0,0
0,0,0,0,0,0,0,36,0,0,0,0
0,1,87,0,0,100,0,37,0,0,0,0
0,0,33,0,0,0,0,20,0,0,0,0
0,0,25,0,0,0,0,88,0,0,0,0
0,0,24,0,0,0,0,107,0,0,0,0
0,0,53,0,0,0,0,51,0,0,0,0
0,0,6,0,0,0,0,61,0,0,0,0
0,0,6,0,0,0,0,23,0,0,0,0
0,0,6,0,0,0,0,17,0,0,0,0
0,0,71,0,0,0,0,23,0,0,0,0
0,0,113,0,0,0,0,30,0,0,0,0
0,0,12,0,0,0,0,23,0,0,0,0
0,0,38,0,0,0,0,34,0,0,0,0
